Product_Name,Product_Value,Product_Category
Squash - Sunburst,6.92,Groceries
Squeeze Bottle,5.06,Groceries
Squid - U - 10 Thailand,6.16,Groceries
Squid Ink,12.83,Groceries
Star Anise  Whole,6.83,Groceries
Steam Pan - Half Size Deep,10.74,Groceries
Steamers White,8.65,Groceries
Steel Wool,5.92,Groceries
Sterno - Chafing Dish Fuel,6,Groceries
Stock - Chicken  White,5.55,Groceries
Strawberries,13.43,Groceries
Strawberries - California,6.42,Groceries
Straws - Cocktale,10.02,Groceries
Sugar - Brown  Individual,12.27,Groceries
Sugar - Icing,10.06,Groceries
Sugar - Splenda Sweetener,6.02,Groceries
Sugar - Sweet N Low  Individual,10.31,Groceries
Sugar - White Packet,13.04,Groceries
Sun - Dried Tomatoes,12.42,Groceries
Sweet Pea Sprouts,12.35,Groceries
Swiss Chard - Red,13.18,Groceries
Sword Pick Asst,11.64,Groceries
Swordfish Loin Portions,14.82,Groceries
Syrup - Chocolate,14.09,Groceries
Syrup - Golden  Lyles,5.01,Groceries
Syrup - Kahlua Chocolate,13.32,Groceries
Syrup - Monin - Blue Curacao,11.02,Groceries
Syrup - Monin  Amaretta,13.06,Groceries
Syrup - Monin  Irish Cream,5.5,Groceries
Syrup - Pancake,5.39,Groceries
Table Cloth - 53x69 Colour,9.28,Groceries
Table Cloth 54x72 White,7.95,Groceries
Table Cloth 62x120 Colour,13.38,Groceries
Table Cloth 62x120 Colour,7.27,Groceries
Tahini Paste,7.34,Groceries
Tamarind Paste,9.92,Groceries
Tandoori Curry Paste,6.66,Groceries
Tarragon - Fresh,8.37,Groceries
Tart - Butter Plain Squares,9.83,Groceries
Tart - Raisin And Pecan,9.46,Groceries
Tarts Assorted,9.35,Groceries
Tea - Apple Green Tea,6.64,Groceries
Tea - Black Currant,11.57,Groceries
Tea - Camomele,6.39,Groceries
Tea - Decaf 1 Cup,8.19,Groceries
Tea - Green,13.18,Groceries
Tea - Herbal - 6 Asst,11.75,Groceries
Tea - Herbal I Love Lemon,5.82,Groceries
Tea - Jasmin Green,13.51,Groceries
Tea - Orange Pekoe,9.21,Groceries
Tea Leaves - Oolong,8.39,Groceries
Tendrils - Baby Pea  Organic,11.23,Groceries
Tequila Rose Cream Liquor,6.03,Groceries
The Pop Shoppe - Root Beer,6.67,Groceries
The Pop Shoppe Pinapple,11.72,Groceries
Thyme - Dried,5.26,Groceries
Thyme - Lemon  Fresh,14.47,Groceries
Thyme - Lemon  Fresh,12.07,Groceries
Tilapia - Fillets,9.38,Groceries
Toamtoes 6x7 Select,5.4,Groceries
Tobasco Sauce,6.23,Groceries
Tofu - Firm,11.76,Groceries
Tofu - Soft,7.56,Groceries
Tomato - Peeled Italian Canned,5.03,Groceries
Tomatoes - Grape,7.63,Groceries
Tomatoes - Vine Ripe  Red,5.83,Groceries
Tomatoes Tear Drop,12.25,Groceries
Toothpick Frilled,5.71,Groceries
Towel Multifold,7.68,Groceries
Tray - 12in Rnd Blk,14.84,Groceries
Trout Rainbow Whole,5.05,Groceries
Truffle Cups Green,13.34,Groceries
Tuna - Bluefin,5.41,Groceries
Tuna - Canned  Flaked  Light,7.47,Groceries
Tuna - Sushi Grade,9.06,Groceries
Turkey - Breast  Boneless Sk On,12.83,Groceries
Turkey - Breast  Double,11.3,Groceries
Turkey - Ground. Lean,13.75,Groceries
Turkey - Whole  Fresh,8.65,Groceries
Turkey Tenderloin Frozen,7.03,Groceries
V8 - Berry Blend,6.12,Groceries
Vacuum Bags 12x16,8.68,Groceries
Vanilla Beans,8.92,Groceries
Veal - Bones,10.74,Groceries
Veal - Brisket  Provimi  Bone - In,12.85,Groceries
Veal - Chops  Split  Frenched,13.31,Groceries
Veal - Inside,7.84,Groceries
Veal - Insides Provini,11.27,Groceries
Veal - Kidney,10.4,Groceries
Veal - Knuckle,11.49,Groceries
Veal - Leg,10.31,Groceries
Veal - Leg  Provimi - 50 Lb Max,9.59,Groceries
Veal - Osso Bucco,13.04,Groceries
Veal - Striploin,8.24,Groceries
Veal Inside - Provimi,14.12,Groceries
Vector Energy Bar,7.44,Groceries
Venison - Denver Leg Boneless,6.43,Groceries
Venison - Liver,6.91,Groceries
Vermacelli - Sprinkles  Assorted,7.03,Groceries
Versatainer Nc - 9388,9.46,Groceries
Vinegar - Cider,7.67,Groceries
Vinegar - White Wine,6.31,Groceries
Vodka - Smirnoff,12.55,Groceries
Vol Au Vents,10.45,Groceries
Waffle Stix,12.56,Groceries
Walkers Special Old Whiskey,7.79,Groceries
Wanton Wrap,6.29,Groceries
Water - Evian 355 Ml,12.53,Groceries
Water - Green Tea Refresher,12.4,Groceries
Water - Mineral  Carbonated,13.28,Groceries
Water - Spring 1.5lit,9.48,Groceries
Water Chestnut - Canned,12.1,Groceries
Watercress,9.78,Groceries
White Baguette,6.7,Groceries
Whmis - Spray Bottle Trigger,11.94,Groceries
Wine - Alsace Gewurztraminer,7.72,Groceries
Wine - Balbach Riverside,10.58,Groceries
Wine - Barbera Alba Doc 2001,6.53,Groceries
Wine - Beringer Founders Estate,11.46,Groceries
Wine - Blue Nun Qualitatswein,10.38,Groceries
Wine - Cahors Ac 2000  Clos,9.08,Groceries
Wine - Chardonnay South,6.82,Groceries
Wine - Chianti Classica Docg,5.72,Groceries
Wine - Chianti Classico Riserva,6.91,Groceries
Wine - Coteaux Du Tricastin Ac,5.55,Groceries
Wine - Duboeuf Beaujolais,7.98,Groceries
Wine - Ej Gallo Sierra Valley,9.15,Groceries
Wine - Fontanafredda Barolo,12.06,Groceries
Wine - Ice Wine,13.37,Groceries
Wine - Jaboulet Cotes Du Rhone,12.9,Groceries
Wine - Jackson Triggs Okonagan,13.09,Groceries
Wine - Lamancha Do Crianza,13.39,Groceries
Wine - Magnotta - Bel Paese White,7.58,Groceries
Wine - Magnotta  Merlot Sr Vqa,10.92,Groceries
Wine - Maipo Valle Cabernet,11.32,Groceries
Wine - Marlbourough Sauv Blanc,7.04,Groceries
Wine - Mas Chicet Rose  Vintage,11.12,Groceries
Wine - Mondavi Coastal Private,14.42,Groceries
Wine - Montecillo Rioja Crianza,10.19,Groceries
Wine - Niagara Peninsula Vqa,11.94,Groceries
Wine - Niagara vqa Reisling,11.29,Groceries
Wine - Peller Estates Late,12.93,Groceries
Wine - Pinot Grigio Collavini,11.99,Groceries
Wine - Pinot Noir Latour,10.4,Groceries
Wine - Pinot Noir Stoneleigh,12.66,Groceries
Wine - Placido Pinot Grigo,9.53,Groceries
Wine - Puligny Montrachet A.,7.01,Groceries
Wine - Red  Black Opal Shiraz,11.99,Groceries
Wine - Red  Marechal Foch,6.99,Groceries
Wine - Rhine Riesling Wolf Blass,6.48,Groceries
Wine - Riesling Alsace Ac 2001,6.04,Groceries
Wine - Rioja Campo Viejo,12.64,Groceries
Wine - Ruffino Chianti Classico,7.76,Groceries
Wine - Saint Emilion Calvet,13.03,Groceries
Wine - Sauvignon Blanc,8.42,Groceries
Wine - Savigny - Les - Beaune,11.38,Groceries
Wine - Sawmill Creek Autumn,5.41,Groceries
Wine - Segura Viudas Aria Brut,11.28,Groceries
Wine - Soave Folonari,8.64,Groceries
Wine - Sogrape Mateus Rose,9.27,Groceries
Wine - Taylors Reserve,6.63,Groceries
Wine - Tio Pepe Sherry Fino,10.17,Groceries
Wine - Toasted Head,14.33,Groceries
Wine - Tribal Sauvignon,8.19,Groceries
Wine - Two Oceans Cabernet,5.54,Groceries
Wine - Vineland Estate Semi - Dry,9.75,Groceries
Wine - Vovray Sec Domaine Huet,7.84,Groceries
Wine - White Cab Sauv.on,10.83,Groceries
Wine - White  Colubia Cresh,10.64,Groceries
Wine - White  Concha Y Toro,7.56,Groceries
Wine - White  Cooking,13.23,Groceries
Wine - White  Ej,6.5,Groceries
Wine - White  French Cross,6.83,Groceries
Wine - White  Lindemans Bin 95,9.02,Groceries
Wine - White  Pelee Island,13.07,Groceries
Wine - White  Riesling  Henry Of,12.77,Groceries
Wine - Wyndham Estate Bin 777,13.36,Groceries
Wooden Mop Handle,11.84,Groceries
Yeast - Fresh  Fleischman,5.07,Groceries
Yeast Dry - Fermipan,11.42,Groceries
Yogurt - Plain,6.92,Groceries
Yogurt - Raspberry  175 Gr,12.35,Groceries
Yucca,7.23,Groceries
Zucchini - Green,13.34,Groceries
Zucchini - Mini  Green,9.63,Groceries
